paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
nudMydhZZW,-100.0,Error,6.25,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,6.0,8.0,,,
C1E0Oo5qgK,4.0,Reject,4.20,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,6.0,3.0,,
O13fIFEB81,5.0,Accept,4.40,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,5.0,5.0,1.0,,
hdoD5OYHPJ,5.0,Accept,5.67,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,6.0,,,,
TMutFl74tX,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,3.0,5.0,6.0,,,
UIGAtKp8nW,5.5,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,8.0,,,
hvLBTpiDt3,5.0,Accept,6.00,Accept,Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
kam84eEmub,7.5,Accept,7.20,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,8.0,8.0,8.0,,
5UQ0YmC2js,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,6.0,5.0,,,
4PlbIfmX9o,3.0,Reject,6.75,Accept,Accept,NO,0.0000,0.0000,8.0,5.0,8.0,6.0,,,
DbRfXmzwjc,6.0,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,1.0,6.0,8.0,3.0,,,
Gx04TnVjee,5.0,Reject,6.75,Accept,Accept,NO,0.0000,0.0000,6.0,5.0,8.0,8.0,,,
cJ3H9K7Mcb,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,5.0,5.0,,,
breVfEOZLv,4.0,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,5.0,,,
09xFexjhqE,4.5,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,6.0,8.0,6.0,5.0,,,
I05Z6KjQ9K,3.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,1.0,5.0,,,
5h0qf7IBZZ,6.5,Accept,6.25,Accept,Accept,YES,0.0000,0.0000,6.0,5.0,8.0,6.0,,,
sllU8vvsFF,3.5,Reject,6.25,Accept,Accept,NO,0.0000,0.0000,8.0,8.0,8.0,1.0,,,
v8jH6rjw8c,5.5,Accept,4.25,Reject,Reject,NO,0.0000,0.0000,3.0,6.0,5.0,3.0,,,
Pa1vr1Prww,5.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,3.0,6.0,5.0,6.0,,,
3mdCet7vVv,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,8.0,5.0,,,
95ObXevgHx,5.5,Reject,6.20,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,8.0,3.0,6.0,,
qo21ZlfNu6,4.5,Accept,7.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,5.0,,,,
vr1QdCNJmN,5.0,Accept,7.00,Accept,Accept,YES,0.0000,0.0000,8.0,8.0,5.0,6.0,8.0,,
c6TDOPEQ0e,5.5,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,5.0,6.0,,,
3PWYAlAQxv,6.5,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,5.0,6.0,5.0,,,
oWy06SBgt4,5.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,3.0,8.0,6.0,5.0,,,
j7OAzA9DQd,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
qDSfOQBrOD,5.0,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,6.0,5.0,,,
ZPZ4eCQU9k,5.0,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,5.0,8.0,3.0,,
vI95kcLAoU,5.5,Accept,6.67,Accept,Accept,YES,0.0000,0.0000,6.0,8.0,6.0,,,,
nubKjBbazd,5.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,5.0,,,
qkVsGBff9s,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,3.0,,,
mHv6wcBb0z,5.0,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,6.0,1.0,,,
Zd8ODMYMBZ,5.5,Accept,4.75,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,3.0,5.0,,,
UVaPEthRKx,4.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,5.0,6.0,,,
8VPWfqtQMX,5.5,Reject,6.50,Accept,Accept,NO,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
dszD2gZIif,4.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,,,
